ID|URL|ALEPHIDN|WEBSCHNITT|INTERVALL_H|EBENEN|GATHER_DIR|LAST_ENTRY|LAST_GATHER|LAST_INGEST|TOLOAD_DIR|STATUS|LAST_PID|USR_STAT|ENTRY_DATE|EXTENDED_TEXT|IGNORE_ROBOTS|DEACT_MSG 
48|http://www.kerstinax.de/|HT015305813|J|8640|null|/storage/gather/rlb01_20071002104006|10.10.2007 09:28:11|04.11.2014 17:00:30|04.11.2014 17:42:26|null|S |5843590|AK|null|null|null|null
49|http://www.galeriesomers.de/|HT015307359|J|8640|null|/storage/gather/rlb01_20071002104107|11.10.2007 09:13:00|04.11.2014 16:50:39|04.11.2014 17:51:37|null|S |5843592|AK|null|null|null|null
50|http://www.kreuznacherdiakonie.de/|HT015312879|J|4320|null|/storage/gather/rlb01_20071002104306|17.10.2007 08:56:12|08.09.2014 21:20:28|09.09.2014 14:02:06|null|S |5769471|AK|null|null|null|null
51|http://www.westerwald-querbahn.de/|HT015312910|J|4320|null|/storage/gather/rlb01_20071002104307|17.10.2007 09:04:21|18.11.2014 20:20:34|18.11.2014 20:33:14|null|S |5877973|AK|null|null|null|null
61|http://www.jugend.rlp.de/|null|J|4320|null|/storage/gather/rlb01_20071017092904|17.10.2007 09:28:52|17.10.2007 19:58:52|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071017092904|NI|null|AK|null|null|null|null
54|http://www.gesangverein-freundeskreis.de/|HT015312925|J|8640|null|/storage/gather/rlb01_20071002104607|17.10.2007 09:07:52|03.11.2013 13:30:27|06.11.2011 09:28:16|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071002104607|GF|4341896|AK|null|null|null|null
62|http://60-jahre-rlp.de/|null|J|8640|null|/storage/gather/rlb01_20071017093005|10.01.2008 15:23:40|17.10.2007 09:41:39|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071017093005|NI|null|AK|null|null|null|null
63|http://www.feuerwehr.astert.de/|null|J|8640|null|/storage/gather/rlb01_20071017093204|17.10.2007 09:31:14|17.10.2007 09:32:09|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071017093204|NI|null|AK|null|null|null|null
64|http://www.keramikmuseum.de/|null|J|4320|null|/storage/gather/rlb01_20071017093304|17.10.2007 09:32:31|17.10.2007 09:56:44|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071017093304|NI|null|AK|null|null|null|null
65|http://www.musikzug-plaidt.de/|null|J|8640|null|/storage/gather/rlb01_20071017093404|17.10.2007 09:33:17|17.10.2007 11:37:35|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071017093404|NI|null|AK|null|null|null|null
